feature,importancia
pico_pico,0.07631143161477265
skewness_s,0.057589128464283997
kurtosis_s,0.054103965488564235
pico_ac,0.047498211705786414
energia,0.04671891791881459
varianza,0.04242008257991318
rms,0.042398925457755914
std,0.041777018870685696
ipd_bpm_fft,0.040982458637449426
entropia,0.03989611053056798
wav_e0,0.03936802150362952
media,0.03771405636717634
e_banda,0.03659143568949631
wav_e1,0.03527545987995375
centroide,0.034420636302484486
wav_e3,0.03354225422218297
ancho_banda,0.032997580462758885
wav_e2,0.03264130626327915
ratio_e,0.029143569442349138
snr_cardiac,0.028590823112145877
bpm_ac_parab,0.028009591328966143
bpm_harm,0.023214906809480088
ipd_ratio_e,0.021433754684101625
ipd_bpm_ac,0.02139903093207904
ipd_snr,0.021341607400970547
ipd_bpm_harm,0.02029452234931769
bpm_est,0.016353883980048247
freq_dom,0.01584589272242321
bpm_ac,0.002125415278562867
