feature,mi
pico_pico,0.2002301024345634
std,0.07492387220830832
rms,0.07484817345627892
energia,0.07427627715923091
varianza,0.07388502974030597
bpm_est,0.03897263175184307
freq_dom,0.03897263175184307
e_banda,0.035999289335773454
bpm_harm,0.023410893536440547
bpm_ac,0.020562650084603673
ipd_bpm_fft,0.019428391841826098
bpm_ac_parab,0.017272608085518115
ipd_ratio_e,0.01710182805265692
skewness_s,0.016186092823923026
ancho_banda,0.011155770355584238
wav_e2,0.01061338531013778
centroide,0.010345800169418773
media,0.009902822977166714
ipd_snr,0.008118658697625847
wav_e3,0.008004245524964482
wav_e1,0.007294128789291143
ipd_bpm_ac,0.005420658491693597
kurtosis_s,0.0040418495782663655
pico_ac,0.0
ratio_e,0.0
entropia,0.0
wav_e0,0.0
snr_cardiac,0.0
ipd_bpm_harm,0.0
