feature,pi
energia,0.011304502033708275
rms,0.00958815046597138
varianza,0.009510848195866417
std,0.0086197635504351
entropia,0.003971225926204624
e_banda,0.0032271580484519945
pico_pico,0.0011924001616537949
snr_cardiac,0.0008485000630510609
kurtosis_s,0.0006377366092404247
wav_e1,0.0004391769450871275
ipd_bpm_fft,0.00042097852438298665
wav_e3,0.0004061610614171429
ratio_e,0.0003914983896450175
wav_e0,0.00025079544541157795
centroide,0.000244325572605264
ipd_bpm_harm,0.00018976341926866259
ipd_bpm_ac,0.00015412435674146962
freq_dom,7.97805467042223e-05
ancho_banda,6.392748233372548e-05
skewness_s,5.8916046865542524e-05
wav_e2,3.993705589323548e-05
bpm_harm,-4.847916180594769e-06
ipd_ratio_e,-5.871115547817496e-06
pico_ac,-8.417728999376984e-06
bpm_ac,-1.3952766813996043e-05
media,-1.871865952908225e-05
bpm_ac_parab,-0.00013196101168382323
bpm_est,-0.00016850108619930192
ipd_snr,-0.0002726186452568502
