escenario,corrida,seed,modelo,MAE,RMSE,MAPE,r
A: Todas las posiciones,0,0,Baseline,10.032998304196028,13.167534466357788,11.905104450460328,0.6102796810451563
A: Todas las posiciones,0,0,RF,9.448913566877359,12.291266691889955,11.260922113035628,0.6712465707922619
A: Todas las posiciones,0,0,SVR,9.465041211495496,12.430295919905795,11.223270877713286,0.6614213770131718
A: Todas las posiciones,1,1,Baseline,9.801888524867586,12.957521688499808,11.330059945122434,0.6151977305071484
A: Todas las posiciones,1,1,RF,9.269963682352142,12.185829297226244,10.727459827679834,0.6693943558562048
A: Todas las posiciones,1,1,SVR,9.363535427182667,12.344001190482514,10.805800967229274,0.660050797869788
A: Todas las posiciones,2,2,Baseline,9.831943873294286,12.814203636272524,11.43943608255068,0.6361538823942533
A: Todas las posiciones,2,2,RF,9.394488223872996,12.095213994694841,11.051469649958356,0.684617220698086
A: Todas las posiciones,2,2,SVR,9.404337210388436,12.16619606455352,11.020459983542054,0.6803324207326427
A: Todas las posiciones,3,3,Baseline,9.497056804253761,12.548053905562908,11.003065751650725,0.6068920336858813
A: Todas las posiciones,3,3,RF,9.091200847572551,11.896979683656008,10.59094229066955,0.6521646307722903
A: Todas las posiciones,3,3,SVR,9.102288051403097,11.980979641723074,10.57837214102724,0.6461989434333452
A: Todas las posiciones,4,4,Baseline,9.875256596232898,12.964394537903317,11.518432056351454,0.6392521281624293
A: Todas las posiciones,4,4,RF,9.48404085830886,12.39121070454258,11.062622728058294,0.6785817961162699
A: Todas las posiciones,4,4,SVR,9.487279185187406,12.437673304489062,11.054827356071723,0.6758565306532089
A: Todas las posiciones,5,5,Baseline,10.076099389420246,12.860756201104376,11.8259651977539,0.6190326288811332
A: Todas las posiciones,5,5,RF,9.589446757236269,12.186536616842444,11.286273480002276,0.6665059031166236
A: Todas las posiciones,5,5,SVR,9.565175846724744,12.225094157495317,11.218145595278301,0.6639214614086493
A: Todas las posiciones,6,6,Baseline,9.928587082081023,13.040055902690447,11.526673133545568,0.5994000453508739
A: Todas las posiciones,6,6,RF,9.652239652078064,12.470636339466846,11.315683417099889,0.6401203069418812
A: Todas las posiciones,6,6,SVR,9.537499788027972,12.410492864074746,11.150236037779425,0.6437509201441138
A: Todas las posiciones,7,7,Baseline,9.781811436505427,12.929300253527712,11.41079010419808,0.5899570050105891
A: Todas las posiciones,7,7,RF,9.363632669294034,12.258867141348722,10.972206803074206,0.6421987989225904
A: Todas las posiciones,7,7,SVR,9.310107607164454,12.292381332799748,10.878846575749247,0.6385320174853534
A: Todas las posiciones,8,8,Baseline,9.347555099798809,12.266229668650734,11.156326539759496,0.6116067528572331
A: Todas las posiciones,8,8,RF,8.88624371627408,11.660507250960302,10.582294720632344,0.6562597190687052
A: Todas las posiciones,8,8,SVR,8.878966231988652,11.696763652476916,10.557873430919717,0.6518498552719173
A: Todas las posiciones,9,9,Baseline,10.093067142794942,13.479447080213918,11.918039927189755,0.5682042010860058
A: Todas las posiciones,9,9,RF,9.650589526457349,12.75536808833231,11.456176966016072,0.6207610811904931
A: Todas las posiciones,9,9,SVR,9.694624647031462,12.842436372680739,11.453914777077982,0.6136907693600829
A: Todas las posiciones,10,10,Baseline,10.13933488046808,13.274484423158162,11.90309422000607,0.6057658051650057
A: Todas las posiciones,10,10,RF,9.71874202905462,12.676787105590142,11.444976108058976,0.6488251107004617
A: Todas las posiciones,10,10,SVR,9.77465623800682,12.789098378012925,11.45261270375972,0.6417039973549168
A: Todas las posiciones,11,11,Baseline,9.698372575527205,12.585081451769973,11.443491166983655,0.6275369743239138
A: Todas las posiciones,11,11,RF,9.56398683862179,12.084820955437525,11.334870084195671,0.6622509420076383
A: Todas las posiciones,11,11,SVR,9.529812825172192,12.107574542759217,11.24352661003826,0.6600807396058748
A: Todas las posiciones,12,12,Baseline,10.269378092510548,13.267542581021722,12.05576776894463,0.5840894488186582
A: Todas las posiciones,12,12,RF,9.95342174084771,12.69528407358154,11.73379282727212,0.6280036809680145
A: Todas las posiciones,12,12,SVR,9.926183793449221,12.734605512744512,11.693256358770729,0.6237541414169248
A: Todas las posiciones,13,13,Baseline,9.790757303270365,12.879937902464613,11.428189162667474,0.6178796392528397
A: Todas las posiciones,13,13,RF,9.413930324427605,12.296225595954771,11.050826624061283,0.6586367389612805
A: Todas las posiciones,13,13,SVR,9.412618816925523,12.320032131675323,11.006939717207139,0.6571259165291956
A: Todas las posiciones,14,14,Baseline,9.632476755065634,12.312907589220925,11.542886952641824,0.6552832519510213
A: Todas las posiciones,14,14,RF,9.525182358592508,12.120593911563056,11.439356482155599,0.6680622186263827
A: Todas las posiciones,14,14,SVR,9.500487734633285,12.109769924887768,11.365991142358029,0.6685261289941828
A: Todas las posiciones,15,15,Baseline,10.22136650294966,13.370938363204871,11.84543853253295,0.5963441480568117
A: Todas las posiciones,15,15,RF,9.859189910821542,12.713728841324832,11.483017211674735,0.6431642178556181
A: Todas las posiciones,15,15,SVR,9.907154334741088,12.85473814085836,11.499406934254432,0.6342590584408465
A: Todas las posiciones,16,16,Baseline,9.704011074488275,12.443897102986005,11.367271220607643,0.6323353088244903
A: Todas las posiciones,16,16,RF,9.295099749541219,11.946010264425809,10.936530530116732,0.6680183708850504
A: Todas las posiciones,16,16,SVR,9.32787058575871,11.97321276665873,10.934395708651826,0.6658941643872
A: Todas las posiciones,17,17,Baseline,9.900058994819908,12.978875265718822,11.543564737544648,0.6263003003419162
A: Todas las posiciones,17,17,RF,9.552756946601923,12.308258337018039,11.224709462366397,0.6723996182841261
A: Todas las posiciones,17,17,SVR,9.564038789954202,12.39700049863947,11.186174163615414,0.6669344083274776
A: Todas las posiciones,18,18,Baseline,10.263160311212088,13.276279247188087,11.85464288566734,0.6017163197598208
A: Todas las posiciones,18,18,RF,9.841433457837809,12.492540392905164,11.437738269045571,0.6556445654481928
A: Todas las posiciones,18,18,SVR,9.870659128832289,12.562438142237824,11.422835217480282,0.6523049288532685
A: Todas las posiciones,19,19,Baseline,9.216177456861637,11.968420725688976,10.885690678632475,0.6615847321876336
A: Todas las posiciones,19,19,RF,8.76708825193189,11.412135649651079,10.357172457519882,0.6989673558357303
A: Todas las posiciones,19,19,SVR,8.825451546042688,11.501231339895824,10.392379605256583,0.6931459906665631
A: Todas las posiciones,20,20,Baseline,9.93442522344335,12.989134727125725,11.825284431529862,0.6214075835315243
A: Todas las posiciones,20,20,RF,9.604299174258664,12.465963287323795,11.42849338261733,0.6571301607768432
A: Todas las posiciones,20,20,SVR,9.595654573248295,12.497237476853579,11.406406338896877,0.6545893650350427
A: Todas las posiciones,21,21,Baseline,9.722483936708837,12.63900325771394,11.494749370756315,0.60405292843381
A: Todas las posiciones,21,21,RF,9.2854514084051,12.007122908067425,10.999665561752646,0.6487662839929841
A: Todas las posiciones,21,21,SVR,9.36377827206886,12.128460853122002,11.055991871641115,0.6393410163772535
A: Todas las posiciones,22,22,Baseline,10.37211516241975,13.406164557326695,12.13149697485469,0.614139001522791
A: Todas las posiciones,22,22,RF,9.810854859876844,12.660087360292078,11.545824356301136,0.6659548686370232
A: Todas las posiciones,22,22,SVR,9.843794054723977,12.741398494411081,11.523780396082431,0.6612360687491142
A: Todas las posiciones,23,23,Baseline,9.36550361925362,12.358508181106663,11.010866529117518,0.6253455239266668
A: Todas las posiciones,23,23,RF,9.098953254416104,11.894355549451298,10.676339292013397,0.6583459188768452
A: Todas las posiciones,23,23,SVR,9.064099427842567,11.947433445277971,10.61114171735476,0.6540826161303193
A: Todas las posiciones,24,24,Baseline,10.087443102217026,13.133152312071992,11.853143249252676,0.6262806691476925
A: Todas las posiciones,24,24,RF,9.943597327615114,12.695304582322766,11.7021646507916,0.657895789167221
A: Todas las posiciones,24,24,SVR,9.874443841731795,12.683342321671448,11.58241906542276,0.6592195615948971
A: Todas las posiciones,25,25,Baseline,10.833320135118933,13.649025706173767,12.873158899963496,0.5874302890904933
A: Todas las posiciones,25,25,RF,10.549955211597359,13.139562987216202,12.509801202813623,0.6234345220645603
A: Todas las posiciones,25,25,SVR,10.517674639453112,13.171923210890405,12.44175822084164,0.6207040989771888
A: Todas las posiciones,26,26,Baseline,9.4279593786205,12.210249888094252,11.216438884105763,0.6466649490426224
A: Todas las posiciones,26,26,RF,9.139195472651458,11.713675117911118,10.873672292248553,0.6800355256415606
A: Todas las posiciones,26,26,SVR,9.129386994079471,11.74428302940172,10.805940757461537,0.6782014687472135
A: Todas las posiciones,27,27,Baseline,9.946042822690224,13.076766381620898,11.611754872624328,0.5992842225111862
A: Todas las posiciones,27,27,RF,9.534154869606649,12.454101341740381,11.192051422550456,0.6439589828446612
A: Todas las posiciones,27,27,SVR,9.561739466228378,12.529692111611379,11.194165102992843,0.638745163838686
A: Todas las posiciones,28,28,Baseline,10.718851144793994,14.082688540083128,12.163976723106023,0.5858005181367889
A: Todas las posiciones,28,28,RF,10.21987313907968,13.241781073623095,11.682330598587306,0.6448046989193525
A: Todas las posiciones,28,28,SVR,10.235609746098046,13.295896576598409,11.677929946057725,0.6416715898718734
A: Todas las posiciones,29,29,Baseline,9.254631169138845,11.971681422088565,10.915433038491864,0.6733308632386873
A: Todas las posiciones,29,29,RF,8.889958139296075,11.292797271622673,10.525468650783075,0.7173000588665412
A: Todas las posiciones,29,29,SVR,8.887987193278096,11.304506301842748,10.485001158244787,0.7170603932004327
A: Todas las posiciones,30,30,Baseline,9.812225532267076,12.887642284778865,11.680873951370423,0.6156918135474203
A: Todas las posiciones,30,30,RF,9.38094860157014,12.212143500329574,11.163412654340075,0.6621965364301887
A: Todas las posiciones,30,30,SVR,9.39092056340296,12.273351951501585,11.159339882000916,0.6578611861060519
A: Todas las posiciones,31,31,Baseline,10.224011016629605,13.301692578344698,12.079314681550729,0.6139951473173278
A: Todas las posiciones,31,31,RF,9.703632997321536,12.573911773662838,11.4934490163629,0.6645109337344275
A: Todas las posiciones,31,31,SVR,9.750001545342771,12.699151477731911,11.50833972478091,0.6559760041967336
A: Todas las posiciones,32,32,Baseline,9.651474714265635,12.398996052747473,11.318552753991128,0.6230674983144149
