escenario,corrida,seed,MAE,RMSE,MAPE,r
B: Solo sedentarias,0,0,8.217939070019806,10.452062490225577,9.945197289404213,0.7042809426106715
D: RF + Optuna,0,0,8.21949762080677,10.459679768597558,9.94205251934488,0.703743833327782
D: XGBoost + Optuna,0,0,8.22737165385815,10.473406458472473,9.955546465775868,0.7028394811634603
D: LightGBM + Optuna,0,0,8.202529016274346,10.450075868176896,9.92013485208078,0.7043570521815208
E: LSTM,0,0,8.366831495430677,10.833934363528776,10.215900726459374,0.7053531971619523
B: Solo sedentarias,1,1,7.417202463994633,9.47841827677077,9.158479341511057,0.7304361615677544
D: RF + Optuna,1,1,7.41564801356224,9.491294144379946,9.160864782825533,0.7294930540121334
D: XGBoost + Optuna,1,1,7.40389703043882,9.479970172536843,9.146039050180816,0.7302917668719588
D: LightGBM + Optuna,1,1,7.4024521325468955,9.48326506717632,9.141701659207587,0.7300608671078599
E: LSTM,1,1,7.465286208248782,9.596831362762803,9.363136602607105,0.7232515663318924
B: Solo sedentarias,2,2,7.727704278448073,9.856323599445547,9.528292895567683,0.7371115930676146
D: RF + Optuna,2,2,7.729036788139789,9.862975371510817,9.524059483238204,0.7366943082836861
D: XGBoost + Optuna,2,2,7.72684679150253,9.864790023720793,9.53201689055254,0.7365004965026744
D: LightGBM + Optuna,2,2,7.737898669223137,9.864924858031515,9.54724737996769,0.736451940589413
E: LSTM,2,2,7.913871811777413,10.250612426928093,9.863599887412198,0.7207429314691415
B: Solo sedentarias,3,3,7.560262310942172,9.496469796363787,9.279609638737703,0.737052239559804
D: RF + Optuna,3,3,7.559544189769843,9.497131529463445,9.27264419881289,0.7371908510586593
D: XGBoost + Optuna,3,3,7.56162561994931,9.508604962614697,9.280814343444463,0.7363165150998073
D: LightGBM + Optuna,3,3,7.572418869636872,9.51125372580967,9.289521189835954,0.7364145030218783
E: LSTM,3,3,7.574682629723265,9.58763851187297,9.415625954471917,0.7409830015812829
B: Solo sedentarias,4,4,8.451059255160311,10.694397388800027,10.438636378663409,0.6890308769092472
D: RF + Optuna,4,4,8.40890537855839,10.655892698409408,10.378782031331667,0.6917224286078743
D: XGBoost + Optuna,4,4,8.421592381904865,10.662088245590045,10.397482654596379,0.6913270263027158
D: LightGBM + Optuna,4,4,8.418957534899404,10.669720438893158,10.388961787053207,0.69088801172057
E: LSTM,4,4,8.440213860278753,10.837662064124684,10.46002397909668,0.6896345386626813
B: Solo sedentarias,5,5,8.033045149109972,10.083683328253366,9.645349319555056,0.7076330736182357
D: RF + Optuna,5,5,8.006366814671452,10.06938768203665,9.609923975434489,0.7087818644665947
D: XGBoost + Optuna,5,5,8.023271308341316,10.083818096045412,9.632368184892615,0.7078986354255115
D: LightGBM + Optuna,5,5,8.026578551652943,10.099417669604845,9.63724691642442,0.7073181997384284
E: LSTM,5,5,7.721574548583048,9.943278603846554,9.429528500326231,0.7158184033033559
B: Solo sedentarias,6,6,8.090565526465243,10.200672445716569,10.487167966940394,0.7033362743541065
D: RF + Optuna,6,6,8.098533057026149,10.198419289152632,10.497192185850857,0.7034075365750644
D: XGBoost + Optuna,6,6,8.090051966347222,10.202017735999867,10.490991811032117,0.7033897378281766
D: LightGBM + Optuna,6,6,8.110515135885233,10.20210614225956,10.517972817139306,0.7033354423732041
E: LSTM,6,6,8.121810064354607,10.458852853162197,10.578892916137056,0.6977803935775686
B: Solo sedentarias,7,7,7.988846117118975,10.04681058776844,10.083558617557575,0.684537165453112
D: RF + Optuna,7,7,7.973769616586077,10.03638828006879,10.062011120622971,0.6852032493195979
D: XGBoost + Optuna,7,7,7.97276485427517,10.032271409914184,10.060690370700739,0.6855146022026277
D: LightGBM + Optuna,7,7,7.9698036516542485,10.035256667517544,10.06011407533579,0.6853894322552279
E: LSTM,7,7,8.078322536783602,10.343320724975317,10.33681991610328,0.6880874176894016
B: Solo sedentarias,8,8,7.741737719478003,9.444861824888518,9.617354139187148,0.7524190605430368
D: RF + Optuna,8,8,7.7251670441868034,9.439637173976642,9.59324228158296,0.7528095841586349
D: XGBoost + Optuna,8,8,7.713604378326866,9.429108326433125,9.577645004782234,0.7534412673943118
D: LightGBM + Optuna,8,8,7.685540522630145,9.407231962504524,9.537678160691543,0.7548304964725414
E: LSTM,8,8,7.779071339983526,9.570889229192304,9.822185825347663,0.7522725098864318
B: Solo sedentarias,9,9,7.567349809354933,9.389968427880463,9.528137948258346,0.7091968927572467
D: RF + Optuna,9,9,7.58353406933277,9.410624441303545,9.54397329087094,0.7077902711370114
D: XGBoost + Optuna,9,9,7.577558147797376,9.407326402710682,9.539480310998613,0.7083222824820967
D: LightGBM + Optuna,9,9,7.57673283512239,9.406087375386178,9.535304474545507,0.7080736396149124
E: LSTM,9,9,7.771561216414843,9.905008798999093,9.921538638603094,0.6920587487877713
B: Solo sedentarias,10,10,7.486036812078509,9.562032279785095,9.385838024959792,0.7340373140466973
D: RF + Optuna,10,10,7.472754969937875,9.545619610687552,9.3682761100227,0.735113327601661
D: XGBoost + Optuna,10,10,7.450618741094117,9.527236879856702,9.343162148186126,0.7362976461702885
D: LightGBM + Optuna,10,10,7.458652769026533,9.54443041744497,9.352909091670103,0.7352692525341851
E: LSTM,10,10,7.413943975965058,9.639373561290029,9.566698009145712,0.7458960169911639
B: Solo sedentarias,11,11,7.567238654171817,9.412266312767661,9.532220426728818,0.7384611474588267
D: RF + Optuna,11,11,7.556427541983044,9.402771186299127,9.514365282096074,0.7389825648648233
D: XGBoost + Optuna,11,11,7.561028078302141,9.408406320349275,9.526458898454694,0.7386754489012397
D: LightGBM + Optuna,11,11,7.559827802771763,9.399578324226862,9.523258856101535,0.7391778201841741
E: LSTM,11,11,7.464657700588072,9.418048223101406,9.581534709038717,0.7424861211241529
B: Solo sedentarias,12,12,7.594204223753506,9.518334808364687,9.411076662372055,0.7091949699063229
D: RF + Optuna,12,12,7.592635994409638,9.521514139905088,9.402365593657636,0.7090931970761354
D: XGBoost + Optuna,12,12,7.586782115070364,9.529276836073516,9.398141859029877,0.7084739684015191
D: LightGBM + Optuna,12,12,7.592622582348029,9.529606650551532,9.405172147847582,0.7086604680326033
E: LSTM,12,12,7.47070340077685,9.647125732168492,9.486907115683437,0.7159083606713402
B: Solo sedentarias,13,13,8.092170303021588,10.521810299668065,9.84823923997481,0.6856630362884275
D: RF + Optuna,13,13,8.085707973965793,10.533479568011554,9.832492214075256,0.6849582936048395
D: XGBoost + Optuna,13,13,8.088391145337285,10.523089403580531,9.843712810004709,0.6856548009376431
D: LightGBM + Optuna,13,13,8.092036248708313,10.52797222022705,9.850089427369573,0.6851526870620557
E: LSTM,13,13,8.103130999656875,10.718567481982186,9.94650547795727,0.6861208491842546
B: Solo sedentarias,14,14,8.03355181266676,10.16812029418281,9.721097459214802,0.6974191490683341
D: RF + Optuna,14,14,7.996378271306444,10.133870459035125,9.672985362780027,0.6997334495843888
D: XGBoost + Optuna,14,14,8.019068707002218,10.15475311604956,9.707503272366274,0.6983073804048976
D: LightGBM + Optuna,14,14,7.998486787885822,10.12760533663175,9.677884040308129,0.700199433060119
E: LSTM,14,14,8.066972005787676,10.303518344464385,9.929562451037075,0.6910645876194011
B: Solo sedentarias,15,15,7.713813074203307,9.863194632535967,9.529845069154561,0.7461629850587326
D: RF + Optuna,15,15,7.711981804566528,9.866898141132,9.52968185695062,0.7458370278006468
D: XGBoost + Optuna,15,15,7.703943323614809,9.863230054750883,9.523619909914963,0.7459827229972757
D: LightGBM + Optuna,15,15,7.704314565522707,9.851462383293073,9.522332922272948,0.7467350024136868
E: LSTM,15,15,7.624185835917171,9.942913890637344,9.52264422423032,0.742544493879185
B: Solo sedentarias,16,16,8.507952001439943,10.843471493027344,10.588526663223302,0.6629800221790694
D: RF + Optuna,16,16,8.501601774543714,10.828762138632015,10.57739066139866,0.6640830137813261
D: XGBoost + Optuna,16,16,8.498399668689439,10.826475499573396,10.5747205469032,0.6641463101205953
D: LightGBM + Optuna,16,16,8.50378717769263,10.831157165034936,10.577651054311207,0.6641309520482932
E: LSTM,16,16,8.718587559806815,11.224788187998831,10.87176231900838,0.6521256064924795
B: Solo sedentarias,17,17,8.086187454536464,10.331106230021497,10.191757834557334,0.6853860296149011
D: RF + Optuna,17,17,8.099560629851885,10.34673905853655,10.20535352049324,0.6844219257162762
D: XGBoost + Optuna,17,17,8.098020611770286,10.351525272491147,10.206143686223157,0.6841170461894223
D: LightGBM + Optuna,17,17,8.103393689720173,10.34950489530448,10.210673899374571,0.6842258664870066
E: LSTM,17,17,8.407745896246466,10.84544464925947,10.664098742288143,0.6788657145616822
B: Solo sedentarias,18,18,7.465081175535667,9.614504620557476,9.188317801633026,0.7139824734502365
D: RF + Optuna,18,18,7.4673797517523,9.601869717333681,9.1949838687428,0.7144955594584369
D: XGBoost + Optuna,18,18,7.468215202887752,9.609892583831792,9.195216806847084,0.7140605499121615
D: LightGBM + Optuna,18,18,7.466667038316948,9.598420099095957,9.19668490734258,0.7148759852065426
E: LSTM,18,18,7.4877859031992315,9.699945376619722,9.363791241247437,0.709589974196285
B: Solo sedentarias,19,19,8.213802574116636,10.147712856699233,10.209503718035798,0.6797251286139236
D: RF + Optuna,19,19,8.200693607520838,10.146482214368065,10.18397839816629,0.6797823002071514
D: XGBoost + Optuna,19,19,8.213629767296103,10.156415546084785,10.206218857375267,0.6791602487736118
D: LightGBM + Optuna,19,19,8.19256582479811,10.136715890892665,10.174800811682546,0.6805204105342413
E: LSTM,19,19,8.313230162058778,10.545117583851939,10.41519800844755,0.6638975171568369
B: Solo sedentarias,20,20,7.927835546947591,10.1553458459527,9.805196426043365,0.7148605496944971
D: RF + Optuna,20,20,7.937925654479835,10.168588423148243,9.814785372048448,0.7140368583161476
D: XGBoost + Optuna,20,20,7.933020263394271,10.169579742802776,9.810236055119258,0.7139957464414153
D: LightGBM + Optuna,20,20,7.940981021618127,10.171254898174944,9.81940077610233,0.7138901826531255
E: LSTM,20,20,8.001472620760936,10.231363204797917,10.01336115578543,0.7103655537530474
B: Solo sedentarias,21,21,7.934234121690896,9.736450302524384,9.894462283568787,0.7077901787153766
D: RF + Optuna,21,21,7.917402469557518,9.721856855385536,9.862809469110394,0.7089840762517896
D: XGBoost + Optuna,21,21,7.933727342298016,9.732276478123623,9.885735523601605,0.7082651910093906
D: LightGBM + Optuna,21,21,7.909446833509824,9.718266852287382,9.851789867439734,0.7093990431840853
E: LSTM,21,21,7.872126400257886,9.791082261903911,9.93792457878692,0.7144891530015638
B: Solo sedentarias,22,22,7.432044361240722,9.371744714269374,9.192612149832893,0.7474793124676302
D: RF + Optuna,22,22,7.434742820403655,9.38288696535477,9.192130836379825,0.7469553167921658
D: XGBoost + Optuna,22,22,7.42956271794993,9.386056946506692,9.190047948064423,0.7466118712224525
D: LightGBM + Optuna,22,22,7.414162241204563,9.362175879398277,9.169011180975438,0.7481106346510932
E: LSTM,22,22,7.5980594898424645,9.811544759183857,9.474254298871003,0.7276860538110406
B: Solo sedentarias,23,23,7.661352838641399,9.413170497787162,9.713924521070487,0.7305674520163812
D: RF + Optuna,23,23,7.641277176060708,9.397266248526948,9.683662896198223,0.7316037792982462
D: XGBoost + Optuna,23,23,7.638654154460318,9.397500275250588,9.68361924240203,0.7317367352159189
D: LightGBM + Optuna,23,23,7.6521623769467055,9.395440266701087,9.69396304318547,0.7317752618412143
