etapa,MAE,RMSE,r
PermImp top-10,8.784138042283647,11.20610978213561,0.714496451670432
PermImp top-12,8.804000303481645,11.221757595438318,0.7134810020630812
PermImp top-15,8.808431388603212,11.230617873278913,0.7128307208986573
PermImp top-8,8.819791449393799,11.239695352153483,0.7125740318213614
RF-importance top-15 (referencia=19),8.820651597347783,11.243354081072939,0.7120836445994716
PermImp top-20,8.821156250360875,11.245568240944515,0.7118533681379225
PermImp top-25,8.830694399397508,11.251626979795072,0.7114929866202835
PermImp top-29,8.831307669401193,11.257519640233665,0.7111316484161272
MI top-5,8.832473904681795,11.251205378595884,0.7119078313631285
MI top-29,8.83640865354241,11.258804606432284,0.7110514743459688
MI top-25,8.83716151412998,11.259870831553052,0.7109724151363117
PermImp top-5,8.838687218069769,11.252627863819386,0.7118047089322224
MI top-10,8.845218455384277,11.267407254637128,0.7108057779911496
MI top-12,8.845762579420294,11.268845488239972,0.7106136175706649
MI top-8,8.846275574475598,11.271059868575849,0.71057938004751
MI top-20,8.851669395504857,11.279660620949375,0.7098125339034591
MI top-15,8.853001298487621,11.276876448559621,0.7101047186162406
